1,DEE-RE-JP-AII,2,U,,,,,,,,,,
1,DEE,DEE STR:225 PF1,500,20,2839.8072,7711.0371,S,333.44,11,E,E,E,STR
2,CURV,DEE ADV STR:229,500,20,2839.9596,7710.5101,S,333.44,2,E,E,E,STR
3,+,PSR:60KMPH,500,20,2839.9651,7710.4929,S,333.44,44,E,E,E,STR
4,CURV,PTNR HOME:60,500,20,2840.0094,7710.2985,S,333.44,7,E,E,E,STR
5,+,PSR:75KMPH,500,20,2839.7847,7709.7155,S,333.44,44,E,E,E,STR
6,PTNR,PTNR STR:20,500,20,2839.4515,7709.2798,S,333.44,11,E,E,E,STR
7,PTNR,ADV STR:2,500,20,2839.033,7708.9218,S,333.44,2,E,E,E,STR
8,.,DJ OPEN,240,20,2838.922,7708.8088,S,333.44,24,E,E,E,STR
9,+,PSR:65KMPH,500,20,2838.6302,7708.6383,S,333.44,44,E,E,E,STR
10,+,PSR:45KMPH,500,20,2838.3747,7708.3692,S,333.44,44,E,E,E,STR
11,DEC,DEC DIST,500,20,2837.6093,7707.6959,S,333.44,3,E,E,E,STR
12,DEC,DEC HOME:5,500,20,2837.1652,7707.3154,S,333.44,7,E,E,E,STR
13,+,PSR:50KMPH,500,20,2837.0791,7707.2372,s,333.44,44,E,E,E,STR
14,DEC,DEC STR:35 PF1,500,20,2836.6658,7706.8844,S,333.44,11,E,E,E,STR
15,DEC,DEC ADV STR:39,500,20,2836.3762,7706.64,S,333.44,2,E,E,E,STR
16,PM,PM DIST,500,20,2836.0068,7706.3257,S,333.44,3,E,E,E,STR
17,PM,PM HOME:1,500,20,2835.578,7705.9573,S,333.44,7,E,E,E,STR
18,PM,PM STR:37,500,20,2835.0082,7705.4743,S,333.44,11,E,E,E,STR
19,+,L XING:15,500,20,2834.9736,7705.4433,S,333.44,9,E,E,E,STR
20,PM,PM ADV STR:19,500,20,2834.7998,7705.2901,S,333.44,2,E,E,E,STR
21,GATE,GATE DIST,500,20,2834.2574,7704.8269,S,333.44,34,E,E,E,STR
22,+,GATE SIG,500,20,2833.8106,7704.4465,S,333.44,4,E,E,E,STR
23,+,L XING:A17,500,20,2833.7217,7704.37,S,333.44,9,E,E,E,STR
24,+,HALT:SMDP,500,20,2833.72,7704.3695,S,333.44,5,E,E,E,STR
25,BWSN,BWSN DIST,500,20,2833.1043,7703.8435,S,333.44,3,E,E,E,STR
26,BWSN,BWSN HOME:1,500,20,2832.6627,7703.4668,S,333.44,7,E,E,E,STR
27,+,PSR:60KMPH,500,20,2832.5297,7703.3542,S,333.44,44,E,E,E,STR
28,BWSN,BWSN STR,500,20,2832.091,7702.984,S,333.44,11,E,E,E,STR
29,BWSN,BWSN ADV STR,500,20,2831.8447,7702.7716,S,333.44,2,E,E,E,STR
30,+,GATE DIST,500,20,2831.6841,7702.6375,S,333.44,34,E,E,E,STR
31,+,GATE SIG:22,500,20,2831.2375,7702.2582,S,333.44,4,E,E,E,STR
32,+,L XING:22,500,20,2831.1375,7702.1743,S,333.44,9,E,E,E,STR
